--- winxp.dat	2019-05-07 19:32:18.980564900 +0900
+kernel32.dll	NotifyMountMgr
+kernel32.dll	NotifyUILanguageChange
+kernel32.dll	NtVdm64CreateProcessInternalW
+kernel32.dll	OOBEComplete
+kernel32.dll	OfferVirtualMemory
-kernel32.dll	OpenDataFile
+kernel32.dll	OpenConsoleWStub
+kernel32.dll	OpenFileById
+kernel32.dll	OpenPackageInfoByFullName
+kernel32.dll	OpenPrivateNamespaceA
+kernel32.dll	OpenPrivateNamespaceW
+kernel32.dll	OpenProcessToken
+kernel32.dll	OpenState
+kernel32.dll	OpenStateExplicit
+kernel32.dll	OpenThreadToken
+kernel32.dll	PackageFamilyNameFromFullName
+kernel32.dll	PackageFamilyNameFromId
+kernel32.dll	PackageFullNameFromId
+kernel32.dll	PackageIdFromFullName
+kernel32.dll	PackageNameAndPublisherIdFromFamilyName
+kernel32.dll	ParseApplicationUserModelId
+kernel32.dll	PowerClearRequest
+kernel32.dll	PowerCreateRequest
+kernel32.dll	PowerSetRequest
+kernel32.dll	PrefetchVirtualMemory
+kernel32.dll	PssCaptureSnapshot
+kernel32.dll	PssDuplicateSnapshot
+kernel32.dll	PssFreeSnapshot
+kernel32.dll	PssQuerySnapshot
+kernel32.dll	PssWalkMarkerCreate
+kernel32.dll	PssWalkMarkerFree
+kernel32.dll	PssWalkMarkerGetPosition
+kernel32.dll	PssWalkMarkerRewind
+kernel32.dll	PssWalkMarkerSeek
+kernel32.dll	PssWalkMarkerSeekToBeginning
+kernel32.dll	PssWalkMarkerSetPosition
+kernel32.dll	PssWalkMarkerTell
+kernel32.dll	PssWalkSnapshot
+kernel32.dll	QueryActCtxSettingsW
+kernel32.dll	QueryActCtxSettingsWWorker
+kernel32.dll	QueryActCtxWWorker
+kernel32.dll	QueryFullProcessImageNameA
+kernel32.dll	QueryFullProcessImageNameW
+kernel32.dll	QueryIdleProcessorCycleTime
+kernel32.dll	QueryIdleProcessorCycleTimeEx
+kernel32.dll	QueryIoRateControlInformationJobObject
-kernel32.dll	QueryWin31IniFilesMappedToRegistry
+kernel32.dll	QueryProcessAffinityUpdateMode
+kernel32.dll	QueryProcessCycleTime
+kernel32.dll	QueryProtectedPolicy
+kernel32.dll	QueryThreadCycleTime
+kernel32.dll	QueryThreadProfiling
+kernel32.dll	QueryThreadpoolStackInformation
+kernel32.dll	QueryUnbiasedInterruptTime
+kernel32.dll	QuirkGetData2Worker
+kernel32.dll	QuirkGetDataWorker
+kernel32.dll	QuirkIsEnabled2Worker
+kernel32.dll	QuirkIsEnabled3Worker
+kernel32.dll	QuirkIsEnabledForPackage2Worker
+kernel32.dll	QuirkIsEnabledForPackage3Worker
+kernel32.dll	QuirkIsEnabledForPackage4Worker
+kernel32.dll	QuirkIsEnabledForPackageWorker
+kernel32.dll	QuirkIsEnabledForProcessWorker
+kernel32.dll	QuirkIsEnabledWorker
+kernel32.dll	RaiseFailFastException
+kernel32.dll	RaiseInvalid16BitExeError
+kernel32.dll	ReOpenFile
+kernel32.dll	ReadDirectoryChangesExW
+kernel32.dll	ReadThreadProfilingData
+kernel32.dll	ReclaimVirtualMemory
+kernel32.dll	RegCloseKey
+kernel32.dll	RegCopyTreeW
+kernel32.dll	RegCreateKeyExA
+kernel32.dll	RegCreateKeyExW
+kernel32.dll	RegDeleteKeyExA
+kernel32.dll	RegDeleteKeyExW
+kernel32.dll	RegDeleteTreeA
+kernel32.dll	RegDeleteTreeW
+kernel32.dll	RegDeleteValueA
+kernel32.dll	RegDeleteValueW
+kernel32.dll	RegDisablePredefinedCacheEx
+kernel32.dll	RegEnumKeyExA
+kernel32.dll	RegEnumKeyExW
+kernel32.dll	RegEnumValueA
+kernel32.dll	RegEnumValueW
+kernel32.dll	RegFlushKey
+kernel32.dll	RegGetKeySecurity
+kernel32.dll	RegGetValueA
+kernel32.dll	RegGetValueW
+kernel32.dll	RegLoadKeyA
+kernel32.dll	RegLoadKeyW
+kernel32.dll	RegLoadMUIStringA
+kernel32.dll	RegLoadMUIStringW
+kernel32.dll	RegNotifyChangeKeyValue
+kernel32.dll	RegOpenCurrentUser
+kernel32.dll	RegOpenKeyExA
+kernel32.dll	RegOpenKeyExW
+kernel32.dll	RegOpenUserClassesRoot
+kernel32.dll	RegQueryInfoKeyA
+kernel32.dll	RegQueryInfoKeyW
+kernel32.dll	RegQueryValueExA
+kernel32.dll	RegQueryValueExW
+kernel32.dll	RegRestoreKeyA
+kernel32.dll	RegRestoreKeyW
+kernel32.dll	RegSaveKeyExA
+kernel32.dll	RegSaveKeyExW
+kernel32.dll	RegSetKeySecurity
+kernel32.dll	RegSetValueExA
+kernel32.dll	RegSetValueExW
+kernel32.dll	RegUnLoadKeyA
+kernel32.dll	RegUnLoadKeyW
+kernel32.dll	RegisterApplicationRecoveryCallback
+kernel32.dll	RegisterApplicationRestart
+kernel32.dll	RegisterBadMemoryNotification
+kernel32.dll	RegisterWaitUntilOOBECompleted
+kernel32.dll	ReleaseActCtxWorker
+kernel32.dll	ReleaseMutexWhenCallbackReturns
+kernel32.dll	ReleaseSRWLockExclusive
+kernel32.dll	ReleaseSRWLockShared
+kernel32.dll	ReleaseSemaphoreWhenCallbackReturns
+kernel32.dll	RemoveDirectoryTransactedA
+kernel32.dll	RemoveDirectoryTransactedW
+kernel32.dll	RemoveDllDirectory
+kernel32.dll	RemoveSecureMemoryCacheCallback
+kernel32.dll	RemoveVectoredContinueHandler
+kernel32.dll	ReplacePartitionUnit
+kernel32.dll	ResolveDelayLoadedAPI
+kernel32.dll	ResolveDelayLoadsFromDll
+kernel32.dll	ResolveLocaleName
+kernel32.dll	RtlPcToFileHeader
-kernel32.dll	SetCPGlobal
+kernel32.dll	SetCachedSigningLevel
-kernel32.dll	SetClientTimeZoneInformation
+kernel32.dll	SetComputerNameEx2W
-kernel32.dll	SetConsoleCommandHistoryMode
+kernel32.dll	SetConsoleHistoryInfo
+kernel32.dll	SetConsoleScreenBufferInfoEx
+kernel32.dll	SetCurrentConsoleFontEx
+kernel32.dll	SetDefaultDllDirectories
+kernel32.dll	SetDynamicTimeZoneInformation
+kernel32.dll	SetEnvironmentStringsA
+kernel32.dll	SetEnvironmentStringsW
+kernel32.dll	SetEventWhenCallbackReturns
+kernel32.dll	SetFileAttributesTransactedA
+kernel32.dll	SetFileAttributesTransactedW
+kernel32.dll	SetFileBandwidthReservation
+kernel32.dll	SetFileCompletionNotificationModes
+kernel32.dll	SetFileInformationByHandle
+kernel32.dll	SetFileIoOverlappedRange
+kernel32.dll	SetFirmwareEnvironmentVariableExA
+kernel32.dll	SetFirmwareEnvironmentVariableExW
+kernel32.dll	SetIoRateControlInformationJobObject
+kernel32.dll	SetNamedPipeAttribute
+kernel32.dll	SetProcessAffinityUpdateMode
+kernel32.dll	SetProcessDefaultCpuSets
+kernel32.dll	SetProcessInformation
+kernel32.dll	SetProcessMitigationPolicy
+kernel32.dll	SetProcessPreferredUILanguages
+kernel32.dll	SetProcessWorkingSetSizeEx
+kernel32.dll	SetProtectedPolicy
+kernel32.dll	SetStdHandleEx
+kernel32.dll	SetSystemFileCacheSize
+kernel32.dll	SetThreadDescription
+kernel32.dll	SetThreadErrorMode
+kernel32.dll	SetThreadGroupAffinity
+kernel32.dll	SetThreadIdealProcessorEx
+kernel32.dll	SetThreadInformation
+kernel32.dll	SetThreadPreferredUILanguages
+kernel32.dll	SetThreadSelectedCpuSets
+kernel32.dll	SetThreadStackGuarantee
+kernel32.dll	SetThreadToken
+kernel32.dll	SetThreadpoolStackInformation
+kernel32.dll	SetThreadpoolThreadMaximum
+kernel32.dll	SetThreadpoolThreadMinimum
+kernel32.dll	SetThreadpoolTimer
+kernel32.dll	SetThreadpoolTimerEx
+kernel32.dll	SetThreadpoolWait
+kernel32.dll	SetThreadpoolWaitEx
+kernel32.dll	SetUserGeoName
+kernel32.dll	SetVolumeMountPointWStub
+kernel32.dll	SetWaitableTimerEx
+kernel32.dll	SetXStateFeaturesMask
+kernel32.dll	SleepConditionVariableCS
+kernel32.dll	SleepConditionVariableSRW
+kernel32.dll	SortCloseHandle
+kernel32.dll	SortGetHandle
+kernel32.dll	StartThreadpoolIo
+kernel32.dll	SubmitThreadpoolWork
+kernel32.dll	SystemTimeToTzSpecificLocalTimeEx
